"filename","processname","lastruntime","processpath","runcount","filesize","foldercreatedtime","foldermodifiedtime"
﻿"VS_PROFESSIONAL.EXE-802BAB3A.pf","VS_PROFESSIONAL.EXE","1688627028","VOLUME{0000000000000000-50c376c0}\VS_PROFESSIONAL.EXE","3","22387","1688627038","1688627920"
﻿"VS_SETUP_BOOTSTRAPPER.EXE-0DE2D3A3.pf","VS_SETUP_BOOTSTRAPPER.EXE","1688365097","C:\USERS\TEST\APPDATA\LOCAL\TEMP\16C499F7F956EFC9149FFC91113D4E\VS_BOOTSTRAPPER_D15\VS_SETUP_BOOTSTRAPPER.EXE","3","41598","1688365107","1688365107"
﻿"VS_SETUP_BOOTSTRAPPER.EXE-6BC10FE1.pf","VS_SETUP_BOOTSTRAPPER.EXE","1688626189","C:\USERS\TEST\APPDATA\LOCAL\TEMP\422DE28D988DFF500C7BD8\VS_BOOTSTRAPPER_D15\VS_SETUP_BOOTSTRAPPER.EXE","3","38209","1688626199","1688626199"
﻿"VS_SETUP_BOOTSTRAPPER.EXE-83E1BF2B.pf","VS_SETUP_BOOTSTRAPPER.EXE","1688365281","C:\USERS\TEST\APPDATA\LOCAL\TEMP\1845649809419C4FF8\VS_BOOTSTRAPPER_D15\VS_SETUP_BOOTSTRAPPER.EXE","3","35159","1688365291","1688365291"
﻿"VS_SETUP_BOOTSTRAPPER.EXE-FE9651A0.pf","VS_SETUP_BOOTSTRAPPER.EXE","1688365279","C:\USERS\TEST\APPDATA\LOCAL\TEMP\17B490FF4C34A8561C455B30939CCC95\VS_BOOTSTRAPPER_D15\VS_SETUP_BOOTSTRAPPER.EXE","3","33032","1688365288","1688365288"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691747619","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691747193","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691746403","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691744207","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691743274","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691743130","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691742676","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WERFAULT.EXE-E69F695A.pf","WERFAULT.EXE","1691742676","C:\WINDOWS\SYSTEM32\WERFAULT.EXE","0","14987","1691725340","1691747619"
﻿"WINDOWSPACKAGEMANAGERSERVER.E-5F85B89A.pf","WINDOWSPACKAGEMANAGERSERVER.E","1691647083","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.DESKTOPAPPINSTALLER_1.20.1881.0_X64__8WEKYB3D8BBWE\WINDOWSPACKAGEMANAGERSERVER.EXE","4","10406","1691647077","1691647083"
﻿"WINDOWSPACKAGEMANAGERSERVER.E-5F85B89A.pf","WINDOWSPACKAGEMANAGERSERVER.E","1691647082","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.DESKTOPAPPINSTALLER_1.20.1881.0_X64__8WEKYB3D8BBWE\WINDOWSPACKAGEMANAGERSERVER.EXE","4","10406","1691647077","1691647083"
﻿"WINDOWSPACKAGEMANAGERSERVER.E-5F85B89A.pf","WINDOWSPACKAGEMANAGERSERVER.E","1691647081","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.DESKTOPAPPINSTALLER_1.20.1881.0_X64__8WEKYB3D8BBWE\WINDOWSPACKAGEMANAGERSERVER.EXE","4","10406","1691647077","1691647083"
﻿"WINDOWSPACKAGEMANAGERSERVER.E-5F85B89A.pf","WINDOWSPACKAGEMANAGERSERVER.E","1691647080","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.DESKTOPAPPINSTALLER_1.20.1881.0_X64__8WEKYB3D8BBWE\WINDOWSPACKAGEMANAGERSERVER.EXE","4","10406","1691647077","1691647083"
﻿"WINDOWSPACKAGEMANAGERSERVER.E-5F85B89A.pf","WINDOWSPACKAGEMANAGERSERVER.E","1691647080","C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.DESKTOPAPPINSTALLER_1.20.1881.0_X64__8WEKYB3D8BBWE\WINDOWSPACKAGEMANAGERSERVER.EXE","4","10406","1691647077","1691647083"
