"name","caption","description","displayname","errorcontrol","pathname","processid","servicetype","started","startmode","startname","state","status","systemname"
ï»¿"CertPropSvc","Certificate Propagation","±q´¼¼z¥d±N¨Ï¥ÎªÌ¾ÌÃÒ©M®Ú¾ÌÃÒ½Æ»s¨ì¥Ø«e¨Ï¥ÎªÌªº¾ÌÃÒ¦s©ñ°Ï¡A·í´¼¼z¥d´¡¤J´¼¼z¥dÅª¥d¾÷®É¶i¦æ°»´ú¡A(­Y¦³»Ý­n) ¨Ã¦w¸Ë´¼¼z¥dÀH´¡§Y¥Î°g§AÅX°Êµ{¦¡¡C","Certificate Propagation","Normal","C:\Windows\system32\svchost.exe -k netsvcs","2592","Share Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"ClipSVC","Client License Service (ClipSVC)","´£¨Ñ¡uMicrosoft Store¡vªº°òÂ¦µ²ºc¤ä´©¡C¦¹ªA°È·|µø»Ý­n±Ò°Ê¡A¦Ó¥B­Y°±¥Î¦¹ªA°È¡A¨Ï¥Î¡uWindows Store¡vÁÊ¶RªºÀ³¥Îµ{¦¡±NµLªk¥¿±`¹B§@¡C","Client License Service (ClipSVC)","Normal","C:\Windows\System32\svchost.exe -k wsappx -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"cloudidsvc","Microsoft ¶³ºÝ¨­¤ÀÃÑ§OªA°È","¤ä´©»P Microsoft ¶³ºÝ¨­¤ÀÃÑ§OªA°Èªº¾ã¦X¡C ­Y°±¥Î¡A±NµLªk¥¿½T¦a±j¨î®M¥Î¯²¥Î¤á­­¨î¡C","Microsoft ¶³ºÝ¨­¤ÀÃÑ§OªA°È","Normal","C:\Windows\system32\svchost.exe -k CloudIdServiceGroup -p","0","Own Process","Stopped","Manual","NT AUTHORITY\NetworkService","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"COMSysApp","COM+ System Application","ºÞ²z COM+ ¤¸¥óªº³]©w¤Î°lÂÜ¡C¦pªG°±¤î¦¹ªA°È¡A¤j³¡¤Àªº COM+ ¤¸¥ó±NµLªk¾A·í¹B§@¡C¦pªG¦¹ªA°È³Q°±¥Î¡A¥ô¦ó©ú½T¨Ì¦s¥¦ªºªA°È±NµLªk±Ò°Ê¡C","COM+ System Application","Normal","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","3564","Own Process","Running","Manual","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"CoreMessagingRegistrar","CoreMessaging","Manages communication between system components.","CoreMessaging","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","2740","Share Process","Running","Auto","NT AUTHORITY\LocalService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"CryptSvc","Cryptographic Services","´£¨Ñ¤TºØºÞ²zªA°È: ¥Ø¿ý¸ê®Æ®wªA°È - ½T»{  Windows ÀÉ®×ªºÃ±³¹¨Ã¤¹³\¦w¸Ë·sµ{¦¡; ¨ü«OÅ@ªº®Ú¥Ø¿ýªA°È - ±q³o³¡¹q¸£·s¼W¤Î²¾°£«H¥ôªº®Ú¾ÌÃÒ±ÂÅv³æ¦ì¾ÌÃÒ; ¥H¤Î¦Û°Ê®Ú¾ÌÃÒ§ó·sªA°È - ±q Windows Update §ì¨ú®Ú¾ÌÃÒ¨Ã±Ò¥Î®×¨Ò¡A¨Ò¦p SSL¡C¦pªG°±¤î¦¹ªA°È¡A³o¨ÇºÞ²zªA°È±NµLªk¥¿±`¹B§@¡C¦pªG°±¥Î¦¹ªA°È¡A¥ô¦ó©ú½T»Ý­n¥¦ªºªA°È±NµLªk±Ò°Ê¡C","Cryptographic Services","Normal","C:\Windows\system32\svchost.exe -k NetworkService -p","2732","Share Process","Running","Auto","NT Authority\NetworkService","Running","OK","DESKTOP-TC5H5CS"
ï»¿"CscService","Offline Files","Â÷½uÀÉ®×ªA°È¯à¦bÂ÷½uÀÉ®×§Ö¨ú¤W°õ¦æºûÅ@¬¡°Ê¡B¦^À³¨Ï¥ÎªÌµn¤J©Mµn¥X¨Æ¥ó¡B¹ê§@¤½¥Î API ¤º³¡¡A¥H¤Î±N¨Æ¥óµo°eµ¹¹ïÂ÷½uÀÉ®×¬¡°Ê¤Î§Ö¨úª¬ºAÅÜ§ó·P¿³½ìªº¨Ï¥ÎªÌ¡C","Offline Files","Normal","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DcomLaunch","DCOM Server Process Launcher","DCOMLAUNCH ªA°È·|±Ò°Ê COM »P DCOM ¦øªA¾¹¡A¥H¦^À³ª«¥ó±Ò¥Î­n¨D¡C¦pªG°±¤î©Î°±¥Î¦¹ªA°È¡A¨Ï¥Î COM ©Î DCOM ªºµ{¦¡±NµLªk¥¿±`¹B§@¡C±j¯P«ØÄ³±z«ùÄò°õ¦æ DCOMLAUNCH ªA°È¡C","DCOM Server Process Launcher","Normal","C:\Windows\system32\svchost.exe -k DcomLaunch -p","808","Share Process","Running","Auto","LocalSystem","Running","OK","DESKTOP-TC5H5CS"
ï»¿"dcsvc","dcsvc","Declared Configuration(DC) service","dcsvc","Normal","C:\Windows\system32\svchost.exe -k netsvcs -p","0","Own Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"defragsvc","Optimize drives","¥i³Ì¨Î¤Æ¦s©ñºÏºÐ¾÷¤WªºÀÉ®×¡A¥H¨ó§U´£°ª¹q¸£°õ¦æ®Ä²v¡C","Optimize drives","Normal","C:\Windows\system32\svchost.exe -k defragsvc","0","Own Process","Stopped","Manual","localSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DeviceAssociationService","Device Association Service","±Ò¥Î¨t²Î»P¦³½u©ÎµL½u¸Ë¸m¤§¶¡ªº°t¹ï¡C","Device Association Service","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DeviceInstall","Device Install Service","±Ò¥Î¹q¸£¥H¨Ï¥ÎªÌ¨S¦³©Î«Ü¤Öªº¿é¤J¨ÓÃÑ§O¤Î¾AÀ³µwÅéÅÜ§ó¡A°±¤î©Î°±¥Î³o­ÓªA°È±N¾É­P¨t²Î¤£Ã­©w¡C","Device Install Service","Normal","C:\Windows\system32\svchost.exe -k DcomLaunch -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"DevQueryBroker","DevQuery Background Discovery Broker","ÅýÀ³¥Îµ{¦¡¥i¥H¨Ï¥Î­I´º¤u§@¨Ó±´¯Á¸Ë¸m","DevQuery Background Discovery Broker","Normal","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","Stopped","Manual","LocalSystem","Stopped","OK","DESKTOP-TC5H5CS"
ï»¿"Dhcp","DHCP Client","¬°³o­Ó¹q¸£µn¿ý¤Î§ó·s IP ¦ì§}©M DNS °O¿ý¡C¦pªG³o­ÓªA°È³Q°±¤î¡A³o­Ó¹q¸£±N·|¤£±µ¦¬°ÊºA IP ¦ì§}©M DNS §ó·s¡C¦pªG³o­ÓªA°È³Q°±¥Î¡A¥ô¦ó©ú½T¨Ì¦s©ó¥¦ªºªA°È±NµLªk±Ò°Ê¡C","DHCP Client","Normal","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","1664","Share Process","Running","Auto","NT Authority\LocalService","Running","OK","DESKTOP-TC5H5CS"
