"fullpath","application_id","computer_name","filesize","entry_id","recordtime","createtime","accesstime","modifiedtime"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691732712239&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fmoney%2Ftopstories%2F%E7%A7%9F%E9%87%91%E5%B0%8D%E5%8D%8A%E7%A0%8D-%E6%9D%B1%E5%8D%80%E7%A7%9F%E9%87%91%E6%AD%BB%E4%BA%86-%E6%88%BF%E4%BB%B2-%E7%96%AB%E5%BE%8C%E5%BE%A9%E7%94%A6%E4%B9%9F%E6%B2%92%E6%95%91%2Far-AA1f51kW%3Focid%3Dwinp1taskbar%26cvid%3De25ca29a25314c7abd0fb891c84558ca%26ei%3D9","ccba5a5986c77e43"," ","0","10","1691732712","NULL","NULL","NULL"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691729645538&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fmoney%2Ftopstories%2F%E5%89%89%E5%92%A7%E7%AD%89-%E9%80%99%E7%B8%A3%E5%B8%82-%E7%A9%BA%E5%B1%8B%E7%8E%87%E9%80%A33%E5%8D%87-%E5%B0%88%E5%AE%B6%E6%8F%AD-1%E9%97%9C%E9%8D%B5-%E6%9C%89%E6%A9%9F%E6%9C%83%E8%B2%B7%E5%9C%A8%E8%B5%B7%E6%BC%B2%E9%BB%9E%2Far-AA1f7sbJ%3Focid%3Dwinp1taskbar%26cvid%3D77c6c8042fa644aee7f19050a65a0d7a%26ei%3D4","ccba5a5986c77e43"," ","0","9","1691729646","NULL","NULL","NULL"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691729573965&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fnews%2Fliving%2F%E8%AE%80%E6%9B%B8%E4%B8%8D%E5%9C%A8%E8%A1%8C-%E4%BB%96%E6%B1%82%E9%AB%98%E8%96%AA%E5%B7%A5%E4%BD%9C-%E7%B6%B2%E6%8E%A8-%E9%80%99%E8%81%B7%E6%A5%AD-%E7%AB%9F%E6%9C%88%E5%85%A58%E8%90%AC%2Far-AA1f7Ae7%3Focid%3Dwinp1taskbar%26cvid%3D41f72d4948bc4e218883afee5ef985fb%26ei%3D8","ccba5a5986c77e43"," ","0","8","1691729574","NULL","NULL","NULL"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691728369442&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fnews%2Fliving%2F%E5%8F%B0%E7%81%A3%E6%9C%80%E7%84%A1%E8%81%8A%E6%99%AF%E9%BB%9E%E5%9C%A8%E5%93%AA-%E9%84%89%E6%B0%91%E4%B8%80%E9%9D%A2%E5%80%92%E9%81%B8-%E5%AE%83-%E9%82%84%E7%8D%B2%E9%87%91%E6%B0%8F%E4%B8%96%E7%95%8C%E7%B4%80%E9%8C%84%2Far-AA1f5OYx%3Focid%3Dwinp1taskbar%26cvid%3Df49369bc1ac44ae7b79267ad4e368d5b%26ei%3D7","ccba5a5986c77e43"," ","0","7","1691728369","NULL","NULL","NULL"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691725996621&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fmoney%2Flistdetails%2FStocks%2520Analysts%2520are%2520Bearish%2520On%2Ffl-538358a51dd9%3Fduration%3D1Y%26p1src%3Dwatchlistideas%26tid%3D95812E051ACC4EF681176A6222654FB6%26skipAuth%3Dtrue%26ocid%3Dwinp1taskbar%26cvid%3Df3adb4db486f4052b86264ddbefcfa78","ccba5a5986c77e43"," ","0","6","1691725997","NULL","NULL","NULL"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691725848231&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fmoney%2Ftopstories%2F%E5%A4%AE%E8%A1%8C%E7%AC%AC%E4%BA%8C%E6%88%B6%E9%99%90%E8%B2%B8%E4%BB%A4-%E6%8E%83%E5%88%B0%E9%80%99%E5%8D%80-%E5%B8%82%E8%AA%BF-%E4%B8%80%E5%91%A8%E6%88%90%E4%BA%A4%E9%9B%A3%E7%A0%B4%E8%9B%8B%2Far-AA1f7pY1%3Focid%3Dwinp1taskbar%26cvid%3D9eae7f855d9645a28e72a4c11622d5bb%26ei%3D10","ccba5a5986c77e43"," ","0","5","1691725848","NULL","NULL","NULL"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691725480349&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fmoney%2Ftopstories%2F%E5%A4%AE%E8%A1%8C%E7%AC%AC%E4%BA%8C%E6%88%B6%E9%99%90%E8%B2%B8%E4%BB%A4-%E6%8E%83%E5%88%B0%E9%80%99%E5%8D%80-%E5%B8%82%E8%AA%BF-%E4%B8%80%E5%91%A8%E6%88%90%E4%BA%A4%E9%9B%A3%E7%A0%B4%E8%9B%8B%2Far-AA1f7pY1%3Focid%3Dwinp1taskbar%26cvid%3D9eae7f855d9645a28e72a4c11622d5bb%26ei%3D6","ccba5a5986c77e43"," ","0","4","1691725480","NULL","NULL","NULL"
﻿"microsoft-edge:?source=windowsfeeds&cid=b972d7f753810fc7&muid=2354EAB636616856201FF9F632616E41&timestamp=1691725144795&url=https%3A%2F%2Fwww.msn.com%2Fzh-tw%2Fmoney%2Ftopstories%2F%E5%A4%AE%E8%A1%8C%E7%AC%AC%E4%BA%8C%E6%88%B6%E9%99%90%E8%B2%B8%E4%BB%A4-%E6%8E%83%E5%88%B0%E9%80%99%E5%8D%80-%E5%B8%82%E8%AA%BF-%E4%B8%80%E5%91%A8%E6%88%90%E4%BA%A4%E9%9B%A3%E7%A0%B4%E8%9B%8B%2Far-AA1f7pY1%3Focid%3Dwinp1taskbar%26cvid%3Df8f8ba1dbade4feca9eaa3d5e7398721%26ei%3D9","ccba5a5986c77e43"," ","0","3","1691725146","NULL","NULL","NULL"
﻿"microsoft-edge:?url=https%3A%2F%2Fwww.google.com.tw%2F&timestamp=1691561373924&source=WindowsSearchBox&campaign=anaheimdata-c&medium=EdgeTopSites&cid=0003BFFD3420AF1F","ccba5a5986c77e43"," ","0","2","1691561374","NULL","NULL","NULL"
﻿"C:\Program Files\Git\ReleaseNotes.html","ccba5a5986c77e43","desktop-tc5h5cs","248940","1","1689752837","1689752705","1689752837","1689258458"
﻿"ms-gamingoverlay:///","dd7c3b1adb1c168b"," ","0","2","1691707098","NULL","NULL","NULL"
﻿"ms-gamingoverlay://kglcheck/","dd7c3b1adb1c168b"," ","0","1","1691707097","NULL","NULL","NULL"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\OnlineSearch.sln","e7e188d1d67209fd","desktop-tc5h5cs","2881","1","1688625270","1684465358","1688625219","1688625019"
﻿"C:\Users\test\Downloads\onlinesearch\onlinesearch\OnlineSearch.sln","ed3d6a1919d189ef","desktop-tc5h5cs","2881","1","1688625212","1684465358","1688625208","1688625019"
﻿"C:\james\eDetectorWindowsAgent_VS2019\x64\Debug","f01b4d95cf55d32a","desktop-tc5h5cs","4096","34","1691743391","1691399489","1691743401","1691743351"
﻿"C:\james\eDetectorWindowsAgent_VS2019\Agent_VS2019","f01b4d95cf55d32a","desktop-tc5h5cs","24576","32","1691742546","1691399488","1691742546","1691742546"
﻿"C:\james\generate_onlinesearch\generate_onlinesearch\Detector","f01b4d95cf55d32a","desktop-tc5h5cs","0","33","1691742546","1688104889","1691742546","1688104889"
