"shortcutname","linkpath","linkto","arguments","description","workingdirectory","iconlocation","brokenshortcut","hotkey","showcmd","modifytime"
ï»¿"VS2012 x64 Cross Tools Command Prompt","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\VS2012 x64 Cross Tools Command Prompt.lnk","C:\Windows\System32\cmd.exe","/k ""C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\vcvarsall.bat"" x86_amd64","Open VS2012 x64 Cross Tools Command Prompt","C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\"," ","No","None","Normal","1688627068"
ï»¿"VS2012 x64 Native Tools Command Prompt","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\VS2012 x64 Native Tools Command Prompt.lnk","C:\Windows\System32\cmd.exe","/k ""C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\vcvarsall.bat"" amd64","Open VS2012 x64 Native Tools Command Prompt","C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\"," ","No","None","Normal","1688627226"
ï»¿"VS2012 x86 Native Tools Command Prompt","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Visual Studio 2012\Visual Studio Tools\VS2012 x86 Native Tools Command Prompt.lnk","C:\Windows\System32\cmd.exe","/k ""C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\vcvarsall.bat"" x86","Open VS2012 x86 Native Tools Command Prompt","C:\Program Files (x86)\Microsoft Visual Studio 11.0\VC\"," ","No","None","Normal","1688627068"
ï»¿"Microsoft Web Platform Installer","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Web Platform Installer.lnk","C:\Program Files\Microsoft\Web Platform Installer\WebPlatformInstaller.exe"," "," "," ","C:\Windows\Installer\{E2B8249D-895C-4685-8C83-00F3B1A13028}\WebPlatformInstaller.exe","No","None","Normal","1688627396"
ï»¿"Task Manager","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\Task Manager.lnk","C:\Windows\system32\taskmgr.exe","/7","ºÞ²z°õ¦æ¤¤ªºÀ³¥Îµ{¦¡¨ÃÀËµø¨t²Î®Ä¯à"," ","%windir%\system32\Taskmgr.exe","No","None","Normal","1575709724"
ï»¿"Debuggable Package Manager","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Debuggable Package Manager.lnk","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","-NoExit -Command "& { Import-Module Appx; Import-Module .\AppxDebug.dll; Show-AppxDebug}"","Microsoft Visual Studio Debuggable Package Manager PowerShell Session","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Remote Debugger\Appx\"," ","No","None","Normal","1688629136"
ï»¿"Developer Command Prompt for VS 2019","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Developer Command Prompt for VS 2019.lnk","C:\Windows\System32\cmd.exe","/k "C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\Tools\VsDevCmd.bat"","Open Visual Studio 2019 Tools Command Prompt","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\"," ","No","None","Normal","1688626298"
ï»¿"Developer PowerShell for VS 2019","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\Developer PowerShell for VS 2019.lnk","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","-noe -c "&{Import-Module """C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\Tools\Microsoft.VisualStudio.DevShell.dll"""; Enter-VsDevShell efb93ab7}"","Open Visual Studio 2019 Tools PowerShell","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\"," ","No","None","Normal","1688626298"
ï»¿"x64 Native Tools Command Prompt for VS 2019","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\VC\x64 Native Tools Command Prompt for VS 2019.lnk","C:\Windows\System32\cmd.exe","/k "C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\VC\Auxiliary\Build\vcvars64.bat"","Open Visual Studio 2019 Tools Command Prompt for targeting x64","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\"," ","No","None","Normal","1688629241"
ï»¿"x64_x86 Cross Tools Command Prompt for VS 2019","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\VC\x64_x86 Cross Tools Command Prompt for VS 2019.lnk","C:\Windows\System32\cmd.exe","/k "C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\VC\Auxiliary\Build\vcvarsamd64_x86.bat"","Open Visual Studio 2019 Tools Command Prompt for targeting x86 with x64-hosted tools","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\"," ","No","None","Normal","1688629241"
ï»¿"x86 Native Tools Command Prompt for VS 2019","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio 2019\Visual Studio Tools\VC\x86 Native Tools Command Prompt for VS 2019.lnk","C:\Windows\System32\cmd.exe","/k "C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\VC\Auxiliary\Build\vcvars32.bat"","Open Visual Studio 2019 Tools Command Prompt for targeting x86","C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\"," ","No","None","Normal","1688629241"
