"name","path","command","lastruntime","nextruntime","startboundary","endboundary"
﻿"SilentCleanup","\Microsoft\Windows\DiskCleanup\SilentCleanup","%windir%\system32\cleanmgr.exe","1691771721","NULL","NULL","NULL"
﻿"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector","%windir%\system32\rundll32.exe","1691430689","NULL","NULL","NULL"
﻿"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver","%windir%\system32\DFDWiz.exe","943920000","NULL","NULL","NULL"
﻿"Diagnostics","\Microsoft\Windows\DiskFootprint\Diagnostics","%windir%\system32\disksnapshot.exe","1691731921","NULL","NULL","NULL"
﻿"StorageSense","\Microsoft\Windows\DiskFootprint\StorageSense"," ","1691731921","NULL","NULL","NULL"
﻿"dusmtask","\Microsoft\Windows\DUSM\dusmtask","%SystemRoot%\System32\dusmtask.exe","943920000","NULL","NULL","NULL"
﻿"EDP App Launch Task","\Microsoft\Windows\EDP\EDP App Launch Task"," ","943920000","NULL","NULL","NULL"
﻿"EDP Auth Task","\Microsoft\Windows\EDP\EDP Auth Task"," ","943920000","NULL","NULL","NULL"
﻿"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\EDP Inaccessible Credentials Task"," ","943920000","NULL","NULL","NULL"
﻿"StorageCardEncryption Task","\Microsoft\Windows\EDP\StorageCardEncryption Task"," ","943920000","NULL","NULL","NULL"
﻿"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh"," ","1691609519","NULL","NULL","NULL"
﻿"DmClient","\Microsoft\Windows\Feedback\Siuf\DmClient","%windir%\system32\dmclient.exe","1691731921","NULL","NULL","NULL"
﻿"DmClientOnScenarioDownload","\Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload","%windir%\system32\dmclient.exe","1691688873","NULL","NULL","NULL"
﻿"Property Definition Sync","\Microsoft\Windows\File Classification Infrastructure\Property Definition Sync"," ","943920000","1691817399","1163012400","NULL"
﻿"File History (maintenance mode)","\Microsoft\Windows\FileHistory\File History (maintenance mode)"," ","1691645622","NULL","NULL","NULL"
﻿"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures"," ","1691609701","NULL","NULL","NULL"
﻿"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\UsageDataFlushing"," ","943920000","NULL","NULL","NULL"
﻿"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\UsageDataReporting"," ","1691731921","NULL","NULL","NULL"
﻿"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\RefreshCache"," ","1691771724","1691791423","1691747426","NULL"
﻿"FODCleanupTask","\Microsoft\Windows\HelloFace\FODCleanupTask","%WinDir%\System32\WinBioPlugIns\FaceFodUninstaller.exe","1691645622","NULL","NULL","NULL"
﻿"LocalUserSyncDataAvailable","\Microsoft\Windows\Input\LocalUserSyncDataAvailable"," ","1689011437","NULL","NULL","NULL"
﻿"MouseSyncDataAvailable","\Microsoft\Windows\Input\MouseSyncDataAvailable"," ","943920000","NULL","NULL","NULL"
﻿"PenSyncDataAvailable","\Microsoft\Windows\Input\PenSyncDataAvailable"," ","1688134240","NULL","NULL","NULL"
﻿"TouchpadSyncDataAvailable","\Microsoft\Windows\Input\TouchpadSyncDataAvailable"," ","943920000","NULL","NULL","NULL"
﻿"ScanForUpdates","\Microsoft\Windows\InstallService\ScanForUpdates"," ","1691686626","1691848968","1388534400","NULL"
﻿"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\ScanForUpdatesAsUser"," ","1691731921","NULL","NULL","NULL"
﻿"SmartRetry","\Microsoft\Windows\InstallService\SmartRetry"," ","1688169547","NULL","1388534400","NULL"
﻿"WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\WakeUpAndContinueUpdates"," ","943920000","NULL","NULL","NULL"
﻿"WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\WakeUpAndScanForUpdates"," ","943920000","1691884118","1388534400","NULL"
﻿"Synchronize Language Settings","\Microsoft\Windows\International\Synchronize Language Settings"," ","1691771605","NULL","NULL","NULL"
﻿"Installation","\Microsoft\Windows\LanguageComponentsInstaller\Installation"," ","1691776457","NULL","NULL","NULL"
﻿"ReconcileLanguageResources","\Microsoft\Windows\LanguageComponentsInstaller\ReconcileLanguageResources"," ","1691768755","NULL","NULL","NULL"
﻿"Uninstallation","\Microsoft\Windows\LanguageComponentsInstaller\Uninstallation"," ","1688624316","NULL","NULL","NULL"
﻿"TempSignedLicenseExchange","\Microsoft\Windows\License Manager\TempSignedLicenseExchange"," ","1691731921","NULL","NULL","NULL"
﻿"Notifications","\Microsoft\Windows\Location\Notifications","%windir%\System32\LocationNotificationWindows.exe","1691776923","NULL","NULL","NULL"
﻿"WindowsActionDialog","\Microsoft\Windows\Location\WindowsActionDialog","%windir%\System32\WindowsActionDialog.exe","943920000","NULL","NULL","NULL"
﻿"WinSAT","\Microsoft\Windows\Maintenance\WinSAT"," ","1691675910","NULL","NULL","NULL"
﻿"DetectHardwareChange","\Microsoft\Windows\Management\Autopilot\DetectHardwareChange"," ","943920000","NULL","NULL","NULL"
﻿"RemediateHardwareChange","\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange"," ","943920000","NULL","NULL","NULL"
﻿"Cellular","\Microsoft\Windows\Management\Provisioning\Cellular","%windir%\system32\ProvTool.exe","943920000","NULL","NULL","NULL"
﻿"Logon","\Microsoft\Windows\Management\Provisioning\Logon","%windir%\system32\ProvTool.exe","1691675873","NULL","NULL","NULL"
﻿"Retry","\Microsoft\Windows\Management\Provisioning\Retry","%windir%\system32\ProvTool.exe","943920000","NULL","NULL","NULL"
﻿"RunOnReboot","\Microsoft\Windows\Management\Provisioning\RunOnReboot","%windir%\system32\ProvTool.exe","943920000","NULL","NULL","NULL"
﻿"MapsToastTask","\Microsoft\Windows\Maps\MapsToastTask"," ","943920000","NULL","NULL","NULL"
﻿"MapsUpdateTask","\Microsoft\Windows\Maps\MapsUpdateTask"," ","943920000","1691804383","1413820800","NULL"
﻿"ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents"," ","1691771721","NULL","NULL","NULL"
﻿"RunFullMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic"," ","1691771721","NULL","NULL","NULL"
﻿"MNO Metadata Parser","\Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser","%SystemRoot%\System32\MbaeParserTask.exe","943920000","NULL","NULL","NULL"
