"name","caption","description","displayname","errorcontrol","pathname","creationclassname","servicetype","started","startmode","startname","state","status","systemname","acceptpause","acceptstop"
ï»¿"AppvStrm","AppvStrm","AppvStrm","AppvStrm","Normal","C:\Windows\system32\drivers\AppvStrm.sys","Win32_SystemDriver","File System Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AppvVemgr","AppvVemgr","AppvVemgr","AppvVemgr","Normal","C:\Windows\system32\drivers\AppvVemgr.sys","Win32_SystemDriver","File System Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AppvVfs","AppvVfs","AppvVfs","AppvVfs","Normal","C:\Windows\system32\drivers\AppvVfs.sys","Win32_SystemDriver","File System Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"arcsas","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Normal","C:\Windows\system32\drivers\arcsas.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"AsyncMac","RAS «D¦P¨B´CÅéÅX°Êµ{¦¡","RAS «D¦P¨B´CÅéÅX°Êµ{¦¡","RAS «D¦P¨B´CÅéÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\asyncmac.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"atapi","IDE ³q¹D","IDE ³q¹D","IDE ³q¹D","Critical","C:\Windows\system32\drivers\atapi.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"b06bdrv","QLogic ºô¸ô¤¶­±¥d VBD","QLogic ºô¸ô¤¶­±¥d VBD","QLogic ºô¸ô¤¶­±¥d VBD","Normal","C:\Windows\system32\drivers\bxvbda.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"bam","Background Activity Moderator Driver","Background Activity Moderator Driver","Background Activity Moderator Driver","Normal","C:\Windows\system32\drivers\bam.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"BasicDisplay","BasicDisplay","BasicDisplay","BasicDisplay","Ignore","C:\Windows\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_fc93ae411c02f280\BasicDisplay.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"BasicRender","BasicRender","BasicRender","BasicRender","Ignore","C:\Windows\system32\DriverStore\FileRepository\basicrender.inf_amd64_ed345fdc37d65139\BasicRender.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"bcmfn2","bcmfn2 Service","bcmfn2 Service","bcmfn2 Service","Normal","C:\Windows\system32\drivers\bcmfn2.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"Beep","Beep","Beep","Beep","Normal","C:\Windows\system32\drivers\Beep.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"bindflt","Windows Bind Filter Driver","Windows Bind Filter Driver","Windows Bind Filter Driver","Normal","C:\Windows\system32\drivers\bindflt.sys","Win32_SystemDriver","File System Driver","Running","Auto"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"bowser","ÂsÄý¾¹","ÂsÄý¾¹","ÂsÄý¾¹","Normal","C:\Windows\system32\DRIVERS\bowser.sys","Win32_SystemDriver","File System Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"BthA2dp","Microsoft Bluetooth A2dp driver","Microsoft Bluetooth A2dp driver","Microsoft Bluetooth A2dp driver","Normal","C:\Windows\system32\drivers\BthA2dp.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"BthEnum","ÂÅ¤ú¦CÁ|µ{¦¡ªA°È","ÂÅ¤ú¦CÁ|µ{¦¡ªA°È","ÂÅ¤ú¦CÁ|µ{¦¡ªA°È","Normal","C:\Windows\system32\drivers\BthEnum.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"BthHFEnum","Microsoft Bluetooth §K«ùÅ¥µ©³]©wÀÉÅX°Êµ{¦¡","Microsoft Bluetooth §K«ùÅ¥µ©³]©wÀÉÅX°Êµ{¦¡","Microsoft Bluetooth §K«ùÅ¥µ©³]©wÀÉÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\bthhfenum.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"BthLEEnum","ÂÅ¤ú§C¥\¯ÓÅX°Êµ{¦¡","ÂÅ¤ú§C¥\¯ÓÅX°Êµ{¦¡","ÂÅ¤ú§C¥\¯ÓÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"BthMini","ÂÅ¤úµL½u¹qÅX°Êµ{¦¡","ÂÅ¤úµL½u¹qÅX°Êµ{¦¡","ÂÅ¤úµL½u¹qÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\BTHMINI.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"BTHMODEM","ÂÅ¤ú¼Æ¾Ú¾÷³q°TÅX°Êµ{¦¡","ÂÅ¤ú¼Æ¾Ú¾÷³q°TÅX°Êµ{¦¡","ÂÅ¤ú¼Æ¾Ú¾÷³q°TÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\bthmodem.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"BTHPORT","ÂÅ¤ú³s±µ°ðÅX°Êµ{¦¡","ÂÅ¤ú³s±µ°ðÅX°Êµ{¦¡","ÂÅ¤ú³s±µ°ðÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\BTHport.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"BTHUSB","ÂÅ¤úµL½u¹q USB ÅX°Êµ{¦¡","ÂÅ¤úµL½u¹q USB ÅX°Êµ{¦¡","ÂÅ¤úµL½u¹q USB ÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\BTHUSB.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"bttflt","Microsoft Hyper-V VHDPMEM BTT ¿z¿ï¾¹","Microsoft Hyper-V VHDPMEM BTT ¿z¿ï¾¹","Microsoft Hyper-V VHDPMEM BTT ¿z¿ï¾¹","Normal","C:\Windows\system32\drivers\bttflt.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"buttonconverter","¥iÄâ¦¡¸Ë¸m±±¨î¸Ë¸mªºªA°È","¥iÄâ¦¡¸Ë¸m±±¨î¸Ë¸mªºªA°È","¥iÄâ¦¡¸Ë¸m±±¨î¸Ë¸mªºªA°È","Normal","C:\Windows\system32\drivers\buttonconverter.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"CAD","¥R¹q¥òµôÅX°Êµ{¦¡","¥R¹q¥òµôÅX°Êµ{¦¡","¥R¹q¥òµôÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\CAD.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"cdfs","CD/DVD File System Reader","CD/DVD File System Reader","CD/DVD File System Reader","Normal","C:\Windows\system32\DRIVERS\cdfs.sys","Win32_SystemDriver","File System Driver","Stopped","Disabled"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"cdrom","CD-ROM Driver","CD-ROM Driver","CD-ROM Driver","Normal","C:\Windows\system32\drivers\cdrom.sys","Win32_SystemDriver","Kernel Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"cht4iscsi","cht4iscsi","cht4iscsi","cht4iscsi","Normal","C:\Windows\system32\drivers\cht4sx64.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"cht4vbd","Chelsio µêÀÀ¶×¬y±ÆÅX°Êµ{¦¡","Chelsio µêÀÀ¶×¬y±ÆÅX°Êµ{¦¡","Chelsio µêÀÀ¶×¬y±ÆÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\cht4vx64.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"CimFS","CimFS","CimFS","CimFS","Normal","C:\Windows\system32\drivers\CimFS.sys","Win32_SystemDriver","File System Driver","Running","System"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"circlass","Consumer IR ¸Ë¸m","Consumer IR ¸Ë¸m","Consumer IR ¸Ë¸m","Normal","C:\Windows\system32\drivers\circlass.sys","Win32_SystemDriver","Kernel Driver","Stopped","Manual"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"CldFlt","Windows Cloud Files Filter Driver","Windows Cloud Files Filter Driver","Windows Cloud Files Filter Driver","Normal","C:\Windows\system32\drivers\cldflt.sys","Win32_SystemDriver","File System Driver","Running","Auto"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"CLFS","Common Log (CLFS)","Common Log (CLFS)","Common Log (CLFS)","Critical","C:\Windows\system32\drivers\CLFS.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"CmBatt","Microsoft ACPI ±±¨î¤è¦¡¹q¦ÀÅX°Êµ{¦¡","Microsoft ACPI ±±¨î¤è¦¡¹q¦ÀÅX°Êµ{¦¡","Microsoft ACPI ±±¨î¤è¦¡¹q¦ÀÅX°Êµ{¦¡","Normal","C:\Windows\system32\drivers\CmBatt.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"CNG","CNG","CNG","CNG","Critical","C:\Windows\system32\Drivers\cng.sys","Win32_SystemDriver","Kernel Driver","Running","Boot"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
ï»¿"cnghwassist","CNG Hardware Assist algorithm provider","CNG Hardware Assist algorithm provider","CNG Hardware Assist algorithm provider","Normal","C:\Windows\system32\DRIVERS\cnghwassist.sys","Win32_SystemDriver","Kernel Driver","Stopped","Disabled"," ","Stopped","OK","DESKTOP-TC5H5CS","No","No"
ï»¿"CompositeBus","½Æ¦X¦¡¶×¬y±Æ¦CÁ|µ{¦¡ÅX°Êµ{¦¡","½Æ¦X¦¡¶×¬y±Æ¦CÁ|µ{¦¡ÅX°Êµ{¦¡","½Æ¦X¦¡¶×¬y±Æ¦CÁ|µ{¦¡ÅX°Êµ{¦¡","Normal","C:\Windows\system32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys","Win32_SystemDriver","Kernel Driver","Running","Manual"," ","Running","OK","DESKTOP-TC5H5CS","No","Yes"
